liczba danych, czas [ms], liczba testów, liczba wartości szukanych w każdym teście
1024,0.002512000000,10,100
2048,0.003578000000,10,100
4096,0.007628000000,10,100
8192,0.014304000000,10,50
16384,0.029144000000,10,50
32768,0.059270000000,2,50
12288,0.027552000000,5,50
2048,0.004570000000,1,100
1024,0.002600000000,1,100
4096,0.007750000000,1,100
8192,0.015020000000,1,50
12288,0.028960000000,1,50
16384,0.034914285714,1,35
24576,0.041900000000,1,20
32768,0.055900000000,1,20
16384,0.034257142857,1,35
32768,0.057100000000,1,20
